,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,2,1,3356.6129160918936
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1,4,3,383.51784655899974
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,2,3,1247.866621607216
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,3,4,7667.817028423664
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,4,3,1,17658.79365907504
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,2,0,3,13034.182490773857
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4,3,1,5260.711649354285
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,5,2,2265.5160098467118
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,1,3,2273.2499178574326
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4,2,7,3085.52017306766
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,1,6,3,6896.669831310312
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,4,3,5,1026.7390989756277
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,4,0,5,1011.1988998385568
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,6,3,652.2348701346455
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,0,6,3,989.499087913835
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,4,5,2,1523.037191322579
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1,1,2,-101.62821869129402
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,19260.556595742633
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,4,2,3851.7343025574373
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,4,3,7,779.5507099278075
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,2,2,4148.206320492729
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,2,4,4,356.7616813336681
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,4,1,4524.526211323333
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,4,4,5177.294568882189
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,3,6,1,7407.94137042132
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3,5,4,1087.5684045048329
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,4,4,5,2262.13770935878
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,3,2,1939.981315526602
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,3,6,5,1459.8184014251183
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2,1,0,1259.8923719541954
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,2,1,4,5107.53216818645
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,4,4,5,837.5334465985179
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4,1,6,3095.041196764847
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,6,1,3608.326557847029
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,2,992.6354634568561
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,5,3,7878.528263676686
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,6,4,1189.1138008900234
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,4,3,6795.598070875198
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,4,6,2,824.0649468267766
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3,0,4,362.2512457890043
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,2,6,5,858.0332755458276
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,610.1583780197725
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,275.6095146847765
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,428.7518545088715
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,4,7,11166.656264116953
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,4993.212440966771
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,2,2,8536.723182387881
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,1267.4738014408272
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,4,3,7,753.748289652558
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4203.61683908403
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1672.2842931014093
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,5354.179935611934
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,7411.016567272629
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,577.0545569168571
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,3,3557.64212911468
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,4,2,6,9391.383047206198
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,4,3,-403.2317323353818
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,2526.6044853096682
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4,6,2,5376.734803245854
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4716.514519617925
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,4,2,5,1766.7080971087707
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,4,5,7,1076.0059480998552
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3,6,5,5131.170641245768
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,3,2,731.9840185884095
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,3,3,2005.998412074503
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,4,2,7,8102.783697597131
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,3,5,6,419.33381506109254
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,6,3,2020.1612094876036
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,6982.412505248914
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,4,5,5,931.942584717197
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,464.86697238607667
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,4,3,2,506.0747868469589
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1,5,2,5633.577995379644
